transaction_id,date,account_id,counterparty_id,counterparty_name,counterparty_type,direction,amount_cny,purpose,channel,source_system,bank_visible_only,evidence_eligible
TX-2026-02337,2026-01-01,AC-001,CP-007,杭州某新能源装备有限公司,下游客户,IN,2173525.01,销售回款,银企直联,PAYMENT_LEDGER,True,True
TX-2026-02597,2026-01-01,AC-008,CP-001,杭州智联数控设备有限公司,设备供应商,OUT,2045246.72,设备预付款/设备采购款,银企直联,PAYMENT_LEDGER,True,True
TX-2026-02836,2026-01-01,AC-004,CP-008,宁波华源自动化有限公司,下游客户,IN,3176498.83,销售回款,银企直联,PAYMENT_LEDGER,True,True
TX-2026-02889,2026-01-01,AC-008,CP-016,能源服务商A,能源,OUT,329107.68,能源费用,企业网银,PAYMENT_LEDGER,True,True
TX-2026-03107,2026-01-01,AC-001,CP-018,他行归集账户A,他行往来,OUT,4630563.81,跨行资金调拨,企业网银,PAYMENT_LEDGER,True,True
TX-2026-03178,2026-01-01,AC-004,CP-007,杭州某新能源装备有限公司,下游客户,IN,1105359.75,销售回款,批量支付,PAYMENT_LEDGER,True,True
TX-2026-03184,2026-01-01,AC-001,CP-003,宁波精密传动有限公司,设备供应商,OUT,871759.17,设备预付款/设备采购款,柜面,PAYMENT_LEDGER,True,True
TX-2026-03257,2026-01-01,AC-006,CP-005,浙江恒远钢材贸易有限公司,原材料供应商,OUT,1208855.07,原材料货款,企业网银,PAYMENT_LEDGER,True,True
TX-2026-03265,2026-01-01,AC-008,CP-018,他行归集账户A,他行往来,OUT,5231533.0,跨行资金调拨,企业网银,PAYMENT_LEDGER,True,True
TX-2026-03369,2026-01-01,AC-004,CP-009,合肥星拓工业有限公司,下游客户,IN,1107868.36,销售回款,企业网银,PAYMENT_LEDGER,True,True
TX-2026-03415,2026-01-01,AC-008,CP-008,宁波华源自动化有限公司,下游客户,IN,372686.2,销售回款,批量支付,PAYMENT_LEDGER,True,True
TX-2026-03509,2026-01-01,AC-006,CP-006,江苏华能铝业有限公司,原材料供应商,OUT,811520.77,原材料货款,柜面,PAYMENT_LEDGER,True,True
TX-2026-00225,2026-01-02,AC-001,CP-015,物流服务商A,物流,OUT,112170.35,物流服务费,企业网银,PAYMENT_LEDGER,True,True
TX-2026-00673,2026-01-02,AC-001,CP-009,合肥星拓工业有限公司,下游客户,IN,2602268.57,销售回款,企业网银,PAYMENT_LEDGER,True,True
TX-2026-00904,2026-01-02,AC-003,CP-019,他行归集账户B,他行往来,OUT,915832.19,跨行资金调拨,企业网银,PAYMENT_LEDGER,True,True
TX-2026-01020,2026-01-02,AC-004,CP-007,杭州某新能源装备有限公司,下游客户,IN,2674380.14,销售回款,批量支付,PAYMENT_LEDGER,True,True
TX-2026-01067,2026-01-02,AC-004,CP-014,华东精工自动化设备有限公司,集团内往来,OUT,2088210.01,集团内部往来,企业网银,PAYMENT_LEDGER,True,True
TX-2026-01339,2026-01-02,AC-003,CP-010,上海凌云智能科技有限公司,下游客户,IN,791562.24,销售回款,柜面,PAYMENT_LEDGER,True,True
TX-2026-01417,2026-01-02,AC-001,CP-009,合肥星拓工业有限公司,下游客户,IN,2602750.53,销售回款,柜面,PAYMENT_LEDGER,True,True
TX-2026-01533,2026-01-02,AC-001,CP-010,上海凌云智能科技有限公司,下游客户,IN,1155415.03,销售回款,柜面,PAYMENT_LEDGER,True,True
TX-2026-01643,2026-01-02,AC-001,CP-001,杭州智联数控设备有限公司,设备供应商,OUT,1573106.43,设备预付款/设备采购款,柜面,PAYMENT_LEDGER,True,True
TX-2026-01650,2026-01-02,AC-001,CP-007,杭州某新能源装备有限公司,下游客户,IN,2010517.27,销售回款,企业网银,PAYMENT_LEDGER,True,True
TX-2026-02055,2026-01-02,AC-002,CP-019,他行归集账户B,他行往来,OUT,4488569.4,跨行资金调拨,批量支付,PAYMENT_LEDGER,True,True
TX-2026-02404,2026-01-02,AC-008,CP-006,江苏华能铝业有限公司,原材料供应商,OUT,1255119.84,原材料货款,柜面,PAYMENT_LEDGER,True,True
TX-2026-02407,2026-01-02,AC-001,CP-001,杭州智联数控设备有限公司,设备供应商,OUT,1861201.36,设备预付款/设备采购款,银企直联,PAYMENT_LEDGER,True,True
TX-2026-02527,2026-01-02,AC-004,CP-005,浙江恒远钢材贸易有限公司,原材料供应商,OUT,1510173.07,原材料货款,柜面,PAYMENT_LEDGER,True,True
TX-2026-02685,2026-01-02,AC-001,CP-016,能源服务商A,能源,OUT,331745.39,能源费用,批量支付,PAYMENT_LEDGER,True,True
TX-2026-02752,2026-01-02,AC-006,CP-018,他行归集账户A,他行往来,OUT,2694975.48,跨行资金调拨,企业网银,PAYMENT_LEDGER,True,True
TX-2026-02990,2026-01-02,AC-003,CP-018,他行归集账户A,他行往来,OUT,5368478.25,跨行资金调拨,批量支付,PAYMENT_LEDGER,True,True
TX-2026-03328,2026-01-02,AC-004,CP-007,杭州某新能源装备有限公司,下游客户,IN,456531.58,销售回款,银企直联,PAYMENT_LEDGER,True,True
TX-2026-03460,2026-01-02,AC-001,CP-007,杭州某新能源装备有限公司,下游客户,IN,2914120.43,销售回款,柜面,PAYMENT_LEDGER,True,True
TX-2026-00150,2026-01-03,AC-008,CP-009,合肥星拓工业有限公司,下游客户,IN,2848027.07,销售回款,柜面,PAYMENT_LEDGER,True,True
TX-2026-00460,2026-01-03,AC-004,CP-008,宁波华源自动化有限公司,下游客户,IN,2489192.78,销售回款,银企直联,PAYMENT_LEDGER,True,True
TX-2026-00594,2026-01-03,AC-001,CP-005,浙江恒远钢材贸易有限公司,原材料供应商,OUT,137853.03,原材料货款,批量支付,PAYMENT_LEDGER,True,True
TX-2026-00795,2026-01-03,AC-001,CP-002,苏州德昇伺服科技有限公司,设备供应商,OUT,1689227.04,设备预付款/设备采购款,批量支付,PAYMENT_LEDGER,True,True
TX-2026-00803,2026-01-03,AC-006,CP-014,华东精工自动化设备有限公司,集团内往来,IN,715008.37,集团内部往来,银企直联,PAYMENT_LEDGER,True,True
TX-2026-00847,2026-01-03,AC-002,CP-008,宁波华源自动化有限公司,下游客户,IN,1205359.58,销售回款,批量支付,PAYMENT_LEDGER,True,True
TX-2026-01452,2026-01-03,AC-008,CP-015,物流服务商A,物流,OUT,294946.83,物流服务费,批量支付,PAYMENT_LEDGER,True,True
TX-2026-01888,2026-01-03,AC-001,CP-018,他行归集账户A,他行往来,OUT,1789629.26,跨行资金调拨,企业网银,PAYMENT_LEDGER,True,True
TX-2026-02058,2026-01-03,AC-001,CP-010,上海凌云智能科技有限公司,下游客户,IN,1384855.73,销售回款,企业网银,PAYMENT_LEDGER,True,True
TX-2026-02115,2026-01-03,AC-004,CP-009,合肥星拓工业有限公司,下游客户,IN,2745213.24,销售回款,批量支付,PAYMENT_LEDGER,True,True
TX-2026-02148,2026-01-03,AC-001,CP-017,房租/物业服务商,管理费用,OUT,146900.25,管理费用,银企直联,PAYMENT_LEDGER,True,True
TX-2026-02500,2026-01-03,AC-007,CP-015,物流服务商A,物流,OUT,98023.26,物流服务费,批量支付,PAYMENT_LEDGER,True,True
TX-2026-02820,2026-01-03,AC-006,CP-006,江苏华能铝业有限公司,原材料供应商,OUT,702365.87,原材料货款,企业网银,PAYMENT_LEDGER,True,True
TX-2026-02953,2026-01-03,AC-008,CP-009,合肥星拓工业有限公司,下游客户,IN,1678360.09,销售回款,企业网银,PAYMENT_LEDGER,True,True
TX-2026-02989,2026-01-03,AC-009,CP-003,宁波精密传动有限公司,设备供应商,OUT,1535181.45,设备预付款/设备采购款,柜面,PAYMENT_LEDGER,True,True
TX-2026-03120,2026-01-03,AC-001,CP-005,浙江恒远钢材贸易有限公司,原材料供应商,OUT,766947.06,原材料货款,批量支付,PAYMENT_LEDGER,True,True
TX-2026-03222,2026-01-03,AC-001,CP-005,浙江恒远钢材贸易有限公司,原材料供应商,OUT,478479.81,原材料货款,企业网银,PAYMENT_LEDGER,True,True
TX-2026-03365,2026-01-03,AC-004,CP-009,合肥星拓工业有限公司,下游客户,IN,2574008.36,销售回款,银企直联,PAYMENT_LEDGER,True,True
TX-2026-00056,2026-01-04,AC-004,CP-015,物流服务商A,物流,OUT,291926.45,物流服务费,批量支付,PAYMENT_LEDGER,True,True
TX-2026-00156,2026-01-04,AC-008,CP-010,上海凌云智能科技有限公司,下游客户,IN,550015.84,销售回款,企业网银,PAYMENT_LEDGER,True,True
TX-2026-00857,2026-01-04,AC-006,CP-006,江苏华能铝业有限公司,原材料供应商,OUT,1161852.74,原材料货款,批量支付,PAYMENT_LEDGER,True,True
TX-2026-00880,2026-01-04,AC-001,CP-007,杭州某新能源装备有限公司,下游客户,IN,995349.9,销售回款,批量支付,PAYMENT_LEDGER,True,True
TX-2026-01062,2026-01-04,AC-007,CP-017,房租/物业服务商,管理费用,OUT,64042.13,管理费用,柜面,PAYMENT_LEDGER,True,True
TX-2026-01083,2026-01-04,AC-004,CP-006,江苏华能铝业有限公司,原材料供应商,OUT,678084.37,原材料货款,银企直联,PAYMENT_LEDGER,True,True
TX-2026-01465,2026-01-04,AC-001,CP-006,江苏华能铝业有限公司,原材料供应商,OUT,191533.54,原材料货款,企业网银,PAYMENT_LEDGER,True,True
TX-2026-01598,2026-01-04,AC-006,CP-007,杭州某新能源装备有限公司,下游客户,IN,1811454.13,销售回款,银企直联,PAYMENT_LEDGER,True,True
TX-2026-02032,2026-01-04,AC-002,CP-018,他行归集账户A,他行往来,IN,3255441.09,跨行资金调拨,银企直联,PAYMENT_LEDGER,True,True
TX-2026-02471,2026-01-04,AC-002,CP-003,宁波精密传动有限公司,设备供应商,OUT,1883733.36,设备预付款/设备采购款,批量支付,PAYMENT_LEDGER,True,True
TX-2026-02517,2026-01-04,AC-007,CP-005,浙江恒远钢材贸易有限公司,原材料供应商,OUT,178549.7,原材料货款,柜面,PAYMENT_LEDGER,True,True
TX-2026-02730,2026-01-04,AC-006,CP-013,华东精工智能制造有限公司,集团内往来,OUT,2275166.82,集团内部往来,银企直联,PAYMENT_LEDGER,True,True
TX-2026-02760,2026-01-04,AC-004,CP-019,他行归集账户B,他行往来,OUT,4641571.26,跨行资金调拨,批量支付,PAYMENT_LEDGER,True,True
TX-2026-02812,2026-01-04,AC-002,CP-006,江苏华能铝业有限公司,原材料供应商,OUT,1542851.07,原材料货款,银企直联,PAYMENT_LEDGER,True,True
TX-2026-02834,2026-01-04,AC-007,CP-017,房租/物业服务商,管理费用,OUT,126565.92,管理费用,企业网银,PAYMENT_LEDGER,True,True
TX-2026-03196,2026-01-04,AC-001,CP-009,合肥星拓工业有限公司,下游客户,IN,1544441.07,销售回款,柜面,PAYMENT_LEDGER,True,True
TX-2026-03313,2026-01-04,AC-001,CP-009,合肥星拓工业有限公司,下游客户,IN,1097887.25,销售回款,柜面,PAYMENT_LEDGER,True,True
TX-2026-00669,2026-01-05,AC-003,CP-009,合肥星拓工业有限公司,下游客户,IN,2524795.63,销售回款,企业网银,PAYMENT_LEDGER,True,True
TX-2026-00742,2026-01-05,AC-004,CP-009,合肥星拓工业有限公司,下游客户,IN,1593799.71,销售回款,柜面,PAYMENT_LEDGER,True,True
TX-2026-00834,2026-01-05,AC-001,CP-013,华东精工智能制造有限公司,集团内往来,OUT,3577142.98,集团内部往来,柜面,PAYMENT_LEDGER,True,True
TX-2026-00876,2026-01-05,AC-008,CP-015,物流服务商A,物流,OUT,150810.23,物流服务费,银企直联,PAYMENT_LEDGER,True,True
TX-2026-01073,2026-01-05,AC-001,CP-009,合肥星拓工业有限公司,下游客户,IN,3033297.52,销售回款,批量支付,PAYMENT_LEDGER,True,True
TX-2026-01612,2026-01-05,AC-004,CP-015,物流服务商A,物流,OUT,206355.32,物流服务费,柜面,PAYMENT_LEDGER,True,True
TX-2026-01664,2026-01-05,AC-001,CP-016,能源服务商A,能源,OUT,215659.92,能源费用,柜面,PAYMENT_LEDGER,True,True
TX-2026-02201,2026-01-05,AC-006,CP-006,江苏华能铝业有限公司,原材料供应商,OUT,934663.87,原材料货款,批量支付,PAYMENT_LEDGER,True,True
TX-2026-02220,2026-01-05,AC-002,CP-018,他行归集账户A,他行往来,OUT,1282229.04,跨行资金调拨,柜面,PAYMENT_LEDGER,True,True
TX-2026-02246,2026-01-05,AC-003,CP-007,杭州某新能源装备有限公司,下游客户,IN,1251419.13,销售回款,银企直联,PAYMENT_LEDGER,True,True
TX-2026-02613,2026-01-05,AC-008,CP-005,浙江恒远钢材贸易有限公司,原材料供应商,OUT,1285338.45,原材料货款,柜面,PAYMENT_LEDGER,True,True
TX-2026-02624,2026-01-05,AC-001,CP-016,能源服务商A,能源,OUT,396281.91,能源费用,柜面,PAYMENT_LEDGER,True,True
TX-2026-02843,2026-01-05,AC-001,CP-015,物流服务商A,物流,OUT,73609.46,物流服务费,企业网银,PAYMENT_LEDGER,True,True
TX-2026-02995,2026-01-05,AC-002,CP-017,房租/物业服务商,管理费用,OUT,72125.41,管理费用,批量支付,PAYMENT_LEDGER,True,True
TX-2026-00015,2026-01-06,AC-004,CP-007,杭州某新能源装备有限公司,下游客户,IN,2602692.27,销售回款,银企直联,PAYMENT_LEDGER,True,True
TX-2026-00260,2026-01-06,AC-004,CP-015,物流服务商A,物流,OUT,119147.05,物流服务费,企业网银,PAYMENT_LEDGER,True,True
TX-2026-00472,2026-01-06,AC-002,CP-010,上海凌云智能科技有限公司,下游客户,IN,1741698.78,销售回款,柜面,PAYMENT_LEDGER,True,True
TX-2026-00608,2026-01-06,AC-001,CP-001,杭州智联数控设备有限公司,设备供应商,OUT,1069280.83,设备预付款/设备采购款,批量支付,PAYMENT_LEDGER,True,True
TX-2026-00615,2026-01-06,AC-001,CP-017,房租/物业服务商,管理费用,OUT,89264.96,管理费用,企业网银,PAYMENT_LEDGER,True,True
TX-2026-00616,2026-01-06,AC-002,CP-010,上海凌云智能科技有限公司,下游客户,IN,954664.75,销售回款,银企直联,PAYMENT_LEDGER,True,True
TX-2026-00666,2026-01-06,AC-003,CP-006,江苏华能铝业有限公司,原材料供应商,OUT,1303138.53,原材料货款,银企直联,PAYMENT_LEDGER,True,True
TX-2026-00704,2026-01-06,AC-004,CP-002,苏州德昇伺服科技有限公司,设备供应商,OUT,1166063.62,设备预付款/设备采购款,批量支付,PAYMENT_LEDGER,True,True
TX-2026-00905,2026-01-06,AC-001,CP-005,浙江恒远钢材贸易有限公司,原材料供应商,OUT,1475572.91,原材料货款,企业网银,PAYMENT_LEDGER,True,True
TX-2026-01152,2026-01-06,AC-004,CP-013,华东精工智能制造有限公司,集团内往来,OUT,2932140.95,集团内部往来,柜面,PAYMENT_LEDGER,True,True
TX-2026-01271,2026-01-06,AC-007,CP-008,宁波华源自动化有限公司,下游客户,IN,1894469.48,销售回款,银企直联,PAYMENT_LEDGER,True,True
TX-2026-01303,2026-01-06,AC-001,CP-005,浙江恒远钢材贸易有限公司,原材料供应商,OUT,730604.24,原材料货款,批量支付,PAYMENT_LEDGER,True,True
TX-2026-01656,2026-01-06,AC-001,CP-007,杭州某新能源装备有限公司,下游客户,IN,2078345.41,销售回款,批量支付,PAYMENT_LEDGER,True,True
TX-2026-02054,2026-01-06,AC-008,CP-004,上海东启电子科技有限公司,设备供应商,OUT,2143140.16,设备预付款/设备采购款,柜面,PAYMENT_LEDGER,True,True
TX-2026-02312,2026-01-06,AC-008,CP-006,江苏华能铝业有限公司,原材料供应商,OUT,295242.77,原材料货款,企业网银,PAYMENT_LEDGER,True,True
TX-2026-02636,2026-01-06,AC-004,CP-001,杭州智联数控设备有限公司,设备供应商,OUT,1817135.86,设备预付款/设备采购款,柜面,PAYMENT_LEDGER,True,True
TX-2026-02645,2026-01-06,AC-004,CP-009,合肥星拓工业有限公司,下游客户,IN,1105008.91,销售回款,柜面,PAYMENT_LEDGER,True,True
TX-2026-02813,2026-01-06,AC-007,CP-003,宁波精密传动有限公司,设备供应商,OUT,1994682.86,设备预付款/设备采购款,批量支付,PAYMENT_LEDGER,True,True
TX-2026-03028,2026-01-06,AC-004,CP-009,合肥星拓工业有限公司,下游客户,IN,968472.96,销售回款,柜面,PAYMENT_LEDGER,True,True
TX-2026-03131,2026-01-06,AC-001,CP-016,能源服务商A,能源,OUT,236224.42,能源费用,企业网银,PAYMENT_LEDGER,True,True
TX-2026-03169,2026-01-06,AC-004,CP-008,宁波华源自动化有限公司,下游客户,IN,2514842.16,销售回款,银企直联,PAYMENT_LEDGER,True,True
TX-2026-03223,2026-01-06,AC-001,CP-014,华东精工自动化设备有限公司,集团内往来,IN,1111519.66,集团内部往来,银企直联,PAYMENT_LEDGER,True,True
TX-2026-03402,2026-01-06,AC-004,CP-003,宁波精密传动有限公司,设备供应商,OUT,1205398.88,设备预付款/设备采购款,银企直联,PAYMENT_LEDGER,True,True
TX-2026-00227,2026-01-07,AC-006,CP-005,浙江恒远钢材贸易有限公司,原材料供应商,OUT,931126.63,原材料货款,批量支付,PAYMENT_LEDGER,True,True
TX-2026-00440,2026-01-07,AC-004,CP-003,宁波精密传动有限公司,设备供应商,OUT,551320.12,设备预付款/设备采购款,企业网银,PAYMENT_LEDGER,True,True
TX-2026-00789,2026-01-07,AC-004,CP-017,房租/物业服务商,管理费用,OUT,196271.39,管理费用,批量支付,PAYMENT_LEDGER,True,True
TX-2026-01112,2026-01-07,AC-004,CP-014,华东精工自动化设备有限公司,集团内往来,IN,553808.47,集团内部往来,批量支付,PAYMENT_LEDGER,True,True
TX-2026-01459,2026-01-07,AC-001,CP-010,上海凌云智能科技有限公司,下游客户,IN,1095429.31,销售回款,柜面,PAYMENT_LEDGER,True,True
TX-2026-01481,2026-01-07,AC-008,CP-001,杭州智联数控设备有限公司,设备供应商,OUT,1303651.07,设备预付款/设备采购款,企业网银,PAYMENT_LEDGER,True,True
TX-2026-01835,2026-01-07,AC-008,CP-013,华东精工智能制造有限公司,集团内往来,OUT,2662368.2,集团内部往来,批量支付,PAYMENT_LEDGER,True,True
TX-2026-02028,2026-01-07,AC-001,CP-009,合肥星拓工业有限公司,下游客户,IN,1545783.21,销售回款,银企直联,PAYMENT_LEDGER,True,True
TX-2026-02256,2026-01-07,AC-004,CP-016,能源服务商A,能源,OUT,276673.16,能源费用,银企直联,PAYMENT_LEDGER,True,True
TX-2026-02336,2026-01-07,AC-008,CP-007,杭州某新能源装备有限公司,下游客户,IN,1059787.22,销售回款,企业网银,PAYMENT_LEDGER,True,True
TX-2026-02642,2026-01-07,AC-002,CP-007,杭州某新能源装备有限公司,下游客户,IN,2513569.23,销售回款,企业网银,PAYMENT_LEDGER,True,True
TX-2026-02758,2026-01-07,AC-008,CP-005,浙江恒远钢材贸易有限公司,原材料供应商,OUT,292274.68,原材料货款,批量支付,PAYMENT_LEDGER,True,True
TX-2026-02939,2026-01-07,AC-001,CP-018,他行归集账户A,他行往来,IN,2380352.23,跨行资金调拨,柜面,PAYMENT_LEDGER,True,True
TX-2026-03235,2026-01-07,AC-001,CP-008,宁波华源自动化有限公司,下游客户,IN,778504.22,销售回款,企业网银,PAYMENT_LEDGER,True,True
TX-2026-03342,2026-01-07,AC-008,CP-009,合肥星拓工业有限公司,下游客户,IN,998068.32,销售回款,企业网银,PAYMENT_LEDGER,True,True
TX-2026-00261,2026-01-08,AC-007,CP-009,合肥星拓工业有限公司,下游客户,IN,1781258.92,销售回款,批量支付,PAYMENT_LEDGER,True,True
TX-2026-00380,2026-01-08,AC-001,CP-009,合肥星拓工业有限公司,下游客户,IN,3148379.61,销售回款,批量支付,PAYMENT_LEDGER,True,True
TX-2026-00426,2026-01-08,AC-003,CP-002,苏州德昇伺服科技有限公司,设备供应商,OUT,536200.2,设备预付款/设备采购款,银企直联,PAYMENT_LEDGER,True,True
TX-2026-00447,2026-01-08,AC-003,CP-008,宁波华源自动化有限公司,下游客户,IN,2959526.71,销售回款,企业网银,PAYMENT_LEDGER,True,True
TX-2026-00513,2026-01-08,AC-008,CP-011,国家税费虚拟对手方,税费,OUT,2318979.61,税费,柜面,PAYMENT_LEDGER,True,True
TX-2026-00593,2026-01-08,AC-004,CP-008,宁波华源自动化有限公司,下游客户,IN,2327230.55,销售回款,企业网银,PAYMENT_LEDGER,True,True
TX-2026-00645,2026-01-08,AC-004,CP-006,江苏华能铝业有限公司,原材料供应商,OUT,457833.21,原材料货款,企业网银,PAYMENT_LEDGER,True,True
TX-2026-00809,2026-01-08,AC-002,CP-008,宁波华源自动化有限公司,下游客户,IN,2526475.09,销售回款,银企直联,PAYMENT_LEDGER,True,True
TX-2026-01124,2026-01-08,AC-003,CP-006,江苏华能铝业有限公司,原材料供应商,OUT,916363.25,原材料货款,柜面,PAYMENT_LEDGER,True,True
TX-2026-01166,2026-01-08,AC-004,CP-019,他行归集账户B,他行往来,IN,3807616.47,跨行资金调拨,企业网银,PAYMENT_LEDGER,True,True
TX-2026-01250,2026-01-08,AC-001,CP-009,合肥星拓工业有限公司,下游客户,IN,1462758.48,销售回款,企业网银,PAYMENT_LEDGER,True,True
TX-2026-01263,2026-01-08,AC-007,CP-007,杭州某新能源装备有限公司,下游客户,IN,1197771.07,销售回款,银企直联,PAYMENT_LEDGER,True,True
TX-2026-01882,2026-01-08,AC-001,CP-007,杭州某新能源装备有限公司,下游客户,IN,1621191.51,销售回款,企业网银,PAYMENT_LEDGER,True,True
TX-2026-02047,2026-01-08,AC-001,CP-007,杭州某新能源装备有限公司,下游客户,IN,2942825.89,销售回款,银企直联,PAYMENT_LEDGER,True,True
TX-2026-02675,2026-01-08,AC-001,CP-008,宁波华源自动化有限公司,下游客户,IN,1992055.9,销售回款,柜面,PAYMENT_LEDGER,True,True
TX-2026-02842,2026-01-08,AC-003,CP-009,合肥星拓工业有限公司,下游客户,IN,2134847.09,销售回款,银企直联,PAYMENT_LEDGER,True,True
TX-2026-02854,2026-01-08,AC-004,CP-015,物流服务商A,物流,OUT,224183.51,物流服务费,银企直联,PAYMENT_LEDGER,True,True
TX-2026-03025,2026-01-08,AC-004,CP-018,他行归集账户A,他行往来,IN,4457123.38,跨行资金调拨,企业网银,PAYMENT_LEDGER,True,True
TX-2026-03134,2026-01-08,AC-002,CP-009,合肥星拓工业有限公司,下游客户,IN,1244924.23,销售回款,银企直联,PAYMENT_LEDGER,True,True
TX-2026-03199,2026-01-08,AC-004,CP-003,宁波精密传动有限公司,设备供应商,OUT,1485559.05,设备预付款/设备采购款,柜面,PAYMENT_LEDGER,True,True
TX-2026-03455,2026-01-08,AC-001,CP-019,他行归集账户B,他行往来,OUT,1714045.76,跨行资金调拨,银企直联,PAYMENT_LEDGER,True,True
TX-2026-00413,2026-01-09,AC-001,CP-003,宁波精密传动有限公司,设备供应商,OUT,1750122.26,设备预付款/设备采购款,批量支付,PAYMENT_LEDGER,True,True
TX-2026-00685,2026-01-09,AC-002,CP-005,浙江恒远钢材贸易有限公司,原材料供应商,OUT,433388.57,原材料货款,批量支付,PAYMENT_LEDGER,True,True
TX-2026-00796,2026-01-09,AC-009,CP-009,合肥星拓工业有限公司,下游客户,IN,2746657.68,销售回款,企业网银,PAYMENT_LEDGER,True,True
TX-2026-01080,2026-01-09,AC-006,CP-013,华东精工智能制造有限公司,集团内往来,OUT,336780.63,集团内部往来,批量支付,PAYMENT_LEDGER,True,True
TX-2026-01194,2026-01-09,AC-001,CP-015,物流服务商A,物流,OUT,167340.29,物流服务费,批量支付,PAYMENT_LEDGER,True,True
TX-2026-01446,2026-01-09,AC-004,CP-008,宁波华源自动化有限公司,下游客户,IN,2775210.54,销售回款,企业网银,PAYMENT_LEDGER,True,True
TX-2026-01772,2026-01-09,AC-002,CP-005,浙江恒远钢材贸易有限公司,原材料供应商,OUT,641519.0,原材料货款,批量支付,PAYMENT_LEDGER,True,True
TX-2026-02006,2026-01-09,AC-003,CP-001,杭州智联数控设备有限公司,设备供应商,OUT,614603.03,设备预付款/设备采购款,银企直联,PAYMENT_LEDGER,True,True
TX-2026-02346,2026-01-09,AC-001,CP-007,杭州某新能源装备有限公司,下游客户,IN,1188504.31,销售回款,银企直联,PAYMENT_LEDGER,True,True
TX-2026-02669,2026-01-09,AC-009,CP-008,宁波华源自动化有限公司,下游客户,IN,598718.27,销售回款,企业网银,PAYMENT_LEDGER,True,True
TX-2026-03318,2026-01-09,AC-001,CP-012,工资代发汇总,工资,OUT,4584725.08,工资代发,企业网银,PAYMENT_LEDGER,True,True
TX-2026-03366,2026-01-09,AC-006,CP-008,宁波华源自动化有限公司,下游客户,IN,756878.64,销售回款,企业网银,PAYMENT_LEDGER,True,True
TX-2026-03569,2026-01-09,AC-001,CP-006,江苏华能铝业有限公司,原材料供应商,OUT,462221.52,原材料货款,批量支付,PAYMENT_LEDGER,True,True
TX-2026-00471,2026-01-10,AC-001,CP-012,工资代发汇总,工资,OUT,4355980.06,工资代发,企业网银,PAYMENT_LEDGER,True,True
TX-2026-01021,2026-01-10,AC-009,CP-005,浙江恒远钢材贸易有限公司,原材料供应商,OUT,823990.81,原材料货款,批量支付,PAYMENT_LEDGER,True,True
TX-2026-01029,2026-01-10,AC-001,CP-013,华东精工智能制造有限公司,集团内往来,IN,3699192.63,集团内部往来,批量支付,PAYMENT_LEDGER,True,True
TX-2026-01092,2026-01-10,AC-004,CP-004,上海东启电子科技有限公司,设备供应商,OUT,1556317.07,设备预付款/设备采购款,银企直联,PAYMENT_LEDGER,True,True
TX-2026-01207,2026-01-10,AC-004,CP-001,杭州智联数控设备有限公司,设备供应商,OUT,633124.21,设备预付款/设备采购款,批量支付,PAYMENT_LEDGER,True,True
TX-2026-01300,2026-01-10,AC-004,CP-009,合肥星拓工业有限公司,下游客户,IN,2057299.99,销售回款,柜面,PAYMENT_LEDGER,True,True
